Model,Accuracy,F1
Logistic Regression,0.868421052631579,0.8611111111111112
kNN (k=7),0.8552631578947368,0.8450704225352113
Stacking (LR+kNN+DT),0.8421052631578947,0.8378378378378378
Decision Tree (depth=5),0.7105263157894737,0.6944444444444444
