max_depth,train_F1,test_F1
3,0.7650602409638554,0.7540229885057471
4,0.792778649921507,0.7482014388489209
5,0.8096723868954758,0.7505938242280285
6,0.8382004735595896,0.7423167848699763
7,0.8789514263685428,0.7448275862068966
8,0.9149102263856362,0.7431192660550459
9,0.9397024275646045,0.7540229885057471
10,0.9564541213063764,0.7587822014051522
11,0.97138437741686,0.7517084282460137
12,0.985121378230227,0.7551487414187643
13,0.9929961089494164,0.765375854214123
14,0.9968847352024922,0.7601809954751131
15,0.9992193598750976,0.759090909090909
16,1.0,0.7579908675799086
17,1.0,0.7579908675799086
18,1.0,0.7579908675799086
19,1.0,0.7579908675799086
20,1.0,0.7579908675799086
21,1.0,0.7579908675799086
22,1.0,0.7579908675799086
23,1.0,0.7579908675799086
24,1.0,0.7579908675799086
25,1.0,0.7579908675799086
