learning_rate,train_F1,test_F1
0.001,0.943584784010316,0.9498714652956298
0.002,0.9493914157591288,0.9539641943734015
0.003,0.9509035662881816,0.9553001277139208
0.004,0.9512078067509199,0.955966815571155
0.005,0.9523656260057933,0.9576379974326059
0.006,0.9565916398713826,0.958974358974359
0.007,0.9575932149143863,0.9603580562659847
0.008,0.959461624739625,0.9609724888035829
0.009,0.9594356261022927,0.9615877080665813
0.01,0.960513643659711,0.9609224855861627
0.011,0.9603467651308396,0.9614890885750963
0.012,0.9603467651308396,0.9614890885750963
0.013,0.959845807902345,0.9614890885750963
0.014,0.959845807902345,0.9614890885750963
0.015,0.9601670414391262,0.9614890885750963
0.016,0.9604882749759075,0.962106615285806
0.017,0.9615198840766382,0.9626288659793815
0.018,0.9615198840766382,0.9620090148100451
0.019,0.9612103653629487,0.9620090148100451
0.02,0.9612228479485116,0.9626769626769627
0.021,0.9617117117117117,0.9620578778135048
0.022,0.9615446500402253,0.961439588688946
0.023,0.9615446500402253,0.961439588688946
0.024,0.9615570210712562,0.961439588688946
0.025,0.9613775345992919,0.961439588688946
0.026,0.9612103653629487,0.962106615285806
0.027,0.9615322710445839,0.961439588688946
0.028,0.9612103653629487,0.961439588688946
0.029,0.9610556807209527,0.962106615285806
0.03,0.9612228479485116,0.9621552277100706
0.031,0.9607338268426134,0.9621552277100706
0.032,0.961068211068211,0.962772785622593
0.033,0.961068211068211,0.962772785622593
0.034,0.9613899613899614,0.9634381013470174
0.035,0.9613899613899614,0.9634381013470174
0.036,0.961569384145361,0.9634381013470174
0.037,0.9617363344051447,0.9641025641025641
0.038,0.9622368632492367,0.9641025641025641
0.039,0.9622368632492367,0.9641025641025641
0.04,0.9625702811244979,0.9641025641025641
0.041,0.9627369097333761,0.9641025641025641
0.042,0.9627488760436738,0.9641025641025641
0.043,0.9630937098844673,0.9641025641025641
0.044,0.9630937098844673,0.9641025641025641
0.045,0.9631055502085338,0.9641025641025641
0.046,0.9585741811175337,0.9610223642172524
0.047,0.9584069375301109,0.9610223642172524
0.048,0.9584069375301109,0.9610223642172524
0.049,0.9585741811175337,0.9610223642172524
0.05,0.9585741811175337,0.9610223642172524
0.051,0.9584069375301109,0.9610223642172524
0.052,0.9579048843187661,0.9616858237547893
0.053,0.9577374256789329,0.9604086845466155
0.054,0.9577510040160643,0.9597957881301851
0.055,0.9577510040160643,0.9597957881301851
0.056,0.957429718875502,0.9591315453384419
0.057,0.9570946488831753,0.9584664536741214
0.058,0.9569270331083253,0.9578005115089514
0.059,0.9569270331083253,0.9578005115089514
0.06,0.9570946488831753,0.9571337172104927
0.061,0.9569408740359897,0.9571337172104927
0.062,0.9567871485943775,0.9571337172104927
0.063,0.9568010277822386,0.9571337172104927
0.064,0.9566334725345326,0.9571337172104927
0.065,0.9566334725345326,0.9564660691421255
0.066,0.9563262684649968,0.9564660691421255
0.067,0.9563402889245586,0.9557975656630365
0.068,0.9561868078960039,0.9557975656630365
0.069,0.9561868078960039,0.9557975656630365
0.07,0.9561868078960039,0.9551856594110115
0.071,0.9561868078960039,0.9551856594110115
0.072,0.9560333761232349,0.9545163356822549
0.073,0.9560333761232349,0.9551856594110115
0.074,0.9557124518613607,0.9551856594110115
0.075,0.9591804570527975,0.9576217583807717
0.076,0.9591804570527975,0.9570164348925411
0.077,0.9591804570527975,0.9570164348925411
0.078,0.9590293098014497,0.9576753000631711
0.079,0.9591804570527975,0.9576753000631711
0.08,0.9591804570527975,0.9583333333333334
0.081,0.9588782101780369,0.9583333333333334
0.082,0.9588782101780369,0.9583333333333334
0.083,0.9588782101780369,0.9583333333333334
0.084,0.9590293098014497,0.9583333333333334
0.085,0.9588782101780369,0.9583333333333334
0.086,0.958576153724996,0.9577287066246056
0.087,0.958576153724996,0.9577287066246056
0.088,0.9582611434871633,0.9577287066246056
0.089,0.9579593764761455,0.957124842370744
0.09,0.957808564231738,0.957124842370744
0.091,0.9573564122738002,0.957124842370744
0.092,0.9571923197985521,0.957124842370744
0.093,0.9568911264946507,0.957124842370744
0.094,0.95674060091238,0.957124842370744
0.095,0.9564396917754364,0.9565217391304348
0.096,0.956590122680088,0.9559193954659949
0.097,0.9561251769146092,0.9559193954659949
0.098,0.9561251769146092,0.9553178099433606
0.099,0.9559609940232777,0.9565217391304348
0.1,0.9559609940232777,0.9565217391304348
0.101,0.9561113732892874,0.9565217391304348
0.102,0.9557967594777411,0.9565217391304348
0.103,0.9561113732892874,0.9565217391304348
0.104,0.9565764631843927,0.9565217391304348
0.105,0.956726986624705,0.9565217391304348
0.106,0.956726986624705,0.9559193954659949
0.107,0.9564122738001574,0.9559193954659949
0.108,0.9564122738001574,0.9559193954659949
0.109,0.9562617998741346,0.9559193954659949
0.11,0.9561113732892874,0.9559193954659949
0.111,0.9556603773584905,0.9553178099433606
0.112,0.9556603773584905,0.9553178099433606
0.113,0.9556743162527507,0.9547169811320755
0.114,0.9555241238409555,0.9547169811320755
0.115,0.9553739786297926,0.9547169811320755
0.116,0.9553879987433239,0.9541169076052797
0.117,0.9553879987433239,0.9541169076052797
0.118,0.9553879987433239,0.9541169076052797
0.119,0.9555520653368934,0.9541169076052797
0.12,0.9555520653368934,0.9541169076052797
0.121,0.9555520653368934,0.9541169076052797
0.122,0.9557160804020101,0.9541169076052797
0.123,0.9557160804020101,0.9535175879396985
0.124,0.9557160804020101,0.9535175879396985
0.125,0.9557160804020101,0.9529190207156308
0.126,0.9555660229235359,0.9535759096612296
0.127,0.9554160125588697,0.9529780564263323
0.128,0.9551302165045498,0.9529780564263323
0.129,0.9549803921568627,0.9529780564263323
0.13,0.9551442910915935,0.9523809523809523
0.131,0.9549945115257958,0.9523809523809523
0.132,0.9551583568516776,0.9523809523809523
0.133,0.9551583568516776,0.9523809523809523
0.134,0.9551583568516776,0.9523809523809523
0.135,0.9551583568516776,0.9517845961177207
0.136,0.9551583568516776,0.9517845961177207
0.137,0.954858934169279,0.9517845961177207
0.138,0.954858934169279,0.9517845961177207
0.139,0.954858934169279,0.9517845961177207
0.14,0.954858934169279,0.9517845961177207
0.141,0.954858934169279,0.9517845961177207
0.142,0.954858934169279,0.9517845961177207
0.143,0.954858934169279,0.9517845961177207
0.144,0.954858934169279,0.9517845961177207
0.145,0.954858934169279,0.9517845961177207
0.146,0.954858934169279,0.9504702194357367
0.147,0.9547092932142297,0.949874686716792
0.148,0.9545596991538703,0.9505322479649343
0.149,0.9545596991538703,0.9505322479649343
0.15,0.9547234842550525,0.9505322479649343
0.151,0.9547234842550525,0.951188986232791
0.152,0.9547234842550525,0.951188986232791
0.153,0.9547234842550525,0.951188986232791
0.154,0.9547234842550525,0.951188986232791
0.155,0.9545596991538703,0.951188986232791
0.156,0.9545739348370927,0.951188986232791
0.157,0.9544244322631167,0.9505941213258287
0.158,0.9544244322631167,0.9505941213258287
0.159,0.9541255675591044,0.9505941213258287
0.16,0.9542892924232936,0.9505941213258287
0.161,0.9541399280012521,0.9505941213258287
0.162,0.9541399280012521,0.9505941213258287
0.163,0.9541255675591044,0.9505941213258287
0.164,0.9542892924232936,0.9505941213258287
0.165,0.9546023794614903,0.95
0.166,0.9546023794614903,0.95
0.167,0.9544529660353733,0.95
0.168,0.9544529660353733,0.95
