K,train_F1,test_F1
2,1.0,1.0
3,1.0,1.0
4,1.0,1.0
5,1.0,1.0
6,1.0,1.0
7,1.0,1.0
8,1.0,1.0
9,1.0,1.0
10,0.9992014055262738,0.9980806142034548
11,0.9995209963276385,0.9987212276214834
12,0.9990415335463259,0.9974391805377721
13,0.9990415335463259,0.9980806142034548
14,0.9990415335463259,0.9974391805377721
15,0.9993612264452252,0.9974391805377721
16,0.9990415335463259,0.9974391805377721
17,0.9990415335463259,0.9974391805377721
18,0.9985616109956849,0.9974391805377721
19,0.9988816104809075,0.9974391805377721
20,0.99744,0.9955099422706863
21,0.9976003839385699,0.9955099422706863
22,0.9971190781049936,0.9948652118100129
23,0.9971190781049936,0.9948652118100129
24,0.9963158737786321,0.9942196531791907
25,0.9959993598975836,0.9929441949967928
26,0.9950344385711998,0.9929441949967928
27,0.9950344385711998,0.9929441949967928
28,0.994228919525489,0.9929441949967928
29,0.994228919525489,0.9929441949967928
30,0.9939063502245029,0.9922978177150192
31,0.9940676607343274,0.9922978177150192
32,0.9939063502245029,0.9922978177150192
33,0.9940676607343274,0.9929441949967928
34,0.9934221081341248,0.9922978177150192
35,0.9935835739493102,0.9922978177150192
36,0.9929373996789728,0.9916506101477199
37,0.9932605905006419,0.9916506101477199
38,0.9932562620423893,0.9916506101477199
39,0.9932562620423893,0.9916506101477199
40,0.9929328621908127,0.9916506101477199
41,0.9932562620423893,0.9922978177150192
42,0.9929328621908127,0.9910025706940874
43,0.9930945880841496,0.9910025706940874
44,0.9930945880841496,0.9910025706940874
45,0.9926163723916533,0.9916506101477199
46,0.9922903951172503,0.9910025706940874
47,0.9922953451043338,0.9910025706940874
48,0.9919717405266538,0.9910025706940874
49,0.9913378248315688,0.9916506101477199
50,0.9918151179585941,0.9910025706940874
51,0.9914968714904541,0.9910141206675225
52,0.9911731664259349,0.9910141206675225
53,0.9881637875879719,0.9878438899552143
54,0.9860554576053855,0.9845956354300385
55,0.9860554576053855,0.9845956354300385
