max_iter,train_F1,test_F1
1000,0.9597562930896264,0.9610223642172524
2000,0.9597562930896264,0.9610223642172524
3000,0.9597562930896264,0.9610223642172524
4000,0.9597562930896264,0.9610223642172524
5000,0.9597562930896264,0.9610223642172524
6000,0.9597562930896264,0.9610223642172524
7000,0.9597562930896264,0.9610223642172524
8000,0.9597562930896264,0.9610223642172524
9000,0.9597562930896264,0.9610223642172524
10000,0.9597562930896264,0.9610223642172524
11000,0.9597562930896264,0.9610223642172524
12000,0.9597562930896264,0.9610223642172524
13000,0.9597562930896264,0.9610223642172524
14000,0.9597562930896264,0.9610223642172524
15000,0.9597562930896264,0.9610223642172524
16000,0.9597562930896264,0.9610223642172524
17000,0.9597562930896264,0.9610223642172524
18000,0.9597562930896264,0.9610223642172524
19000,0.9597562930896264,0.9610223642172524
20000,0.9597562930896264,0.9610223642172524
21000,0.9597562930896264,0.9610223642172524
22000,0.9597562930896264,0.9610223642172524
23000,0.9597562930896264,0.9610223642172524
24000,0.9597562930896264,0.9610223642172524
25000,0.9597562930896264,0.9610223642172524
26000,0.9597562930896264,0.9610223642172524
27000,0.9597562930896264,0.9610223642172524
28000,0.9597562930896264,0.9610223642172524
29000,0.9597562930896264,0.9610223642172524
30000,0.9597562930896264,0.9610223642172524
31000,0.9597562930896264,0.9610223642172524
32000,0.9597562930896264,0.9610223642172524
33000,0.9597562930896264,0.9610223642172524
34000,0.9597562930896264,0.9610223642172524
35000,0.9597562930896264,0.9610223642172524
36000,0.9597562930896264,0.9610223642172524
37000,0.9597562930896264,0.9610223642172524
38000,0.9597562930896264,0.9610223642172524
39000,0.9597562930896264,0.9610223642172524
40000,0.9597562930896264,0.9610223642172524
41000,0.9597562930896264,0.9610223642172524
42000,0.9597562930896264,0.9610223642172524
43000,0.9597562930896264,0.9610223642172524
44000,0.9597562930896264,0.9610223642172524
45000,0.9597562930896264,0.9610223642172524
46000,0.9597562930896264,0.9610223642172524
47000,0.9597562930896264,0.9610223642172524
48000,0.9597562930896264,0.9610223642172524
49000,0.9597562930896264,0.9610223642172524
50000,0.9597562930896264,0.9610223642172524
51000,0.9597562930896264,0.9610223642172524
52000,0.9597562930896264,0.9610223642172524
53000,0.9597562930896264,0.9610223642172524
54000,0.9597562930896264,0.9610223642172524
55000,0.9597562930896264,0.9610223642172524
56000,0.9597562930896264,0.9610223642172524
57000,0.9597562930896264,0.9610223642172524
58000,0.9597562930896264,0.9610223642172524
59000,0.9597562930896264,0.9610223642172524
60000,0.9597562930896264,0.9610223642172524
61000,0.9597562930896264,0.9610223642172524
62000,0.9597562930896264,0.9610223642172524
63000,0.9597562930896264,0.9610223642172524
64000,0.9597562930896264,0.9610223642172524
65000,0.9597562930896264,0.9610223642172524
66000,0.9597562930896264,0.9610223642172524
67000,0.9597562930896264,0.9610223642172524
68000,0.9597562930896264,0.9610223642172524
69000,0.9597562930896264,0.9610223642172524
70000,0.9597562930896264,0.9610223642172524
71000,0.9597562930896264,0.9610223642172524
72000,0.9597562930896264,0.9610223642172524
73000,0.9597562930896264,0.9610223642172524
74000,0.9597562930896264,0.9610223642172524
75000,0.9597562930896264,0.9610223642172524
76000,0.9597562930896264,0.9610223642172524
77000,0.9597562930896264,0.9610223642172524
78000,0.9597562930896264,0.9610223642172524
79000,0.9597562930896264,0.9610223642172524
80000,0.9597562930896264,0.9610223642172524
81000,0.9597562930896264,0.9610223642172524
82000,0.9597562930896264,0.9610223642172524
83000,0.9597562930896264,0.9610223642172524
84000,0.9597562930896264,0.9610223642172524
85000,0.9597562930896264,0.9610223642172524
86000,0.9597562930896264,0.9610223642172524
87000,0.9597562930896264,0.9610223642172524
88000,0.9597562930896264,0.9610223642172524
89000,0.9597562930896264,0.9610223642172524
90000,0.9597562930896264,0.9610223642172524
91000,0.9597562930896264,0.9610223642172524
92000,0.9597562930896264,0.9610223642172524
93000,0.9597562930896264,0.9610223642172524
94000,0.9597562930896264,0.9610223642172524
95000,0.9597562930896264,0.9610223642172524
96000,0.9597562930896264,0.9610223642172524
97000,0.9597562930896264,0.9610223642172524
98000,0.9597562930896264,0.9610223642172524
99000,0.9597562930896264,0.9610223642172524
100000,0.9597562930896264,0.9610223642172524
